Ratón,Grupo,Peri_1,Peri_2,Peri_3,Peri_4,Peri_5,Peri_6,Peri_7,Peri_8,Peri_9,Bazo_1,Bazo_2,Bazo_3,Bazo_4,Bazo_5,Bazo_6,Bazo_7,Bazo_8,Bazo_9
7,D,108.1818213,105.4545447,110.9090894,116.3636341,100.9090894,112.7272766,111.8181787,168.1818213,117.2727319,103.1249995,112.500003,100.0000049,105.2083293,98.95833025,113.5416679,104.1666644,131.2500003,109.3749986
8,D,83.63636595,100.9090894,99.09091063,99.09091063,81.81817874,122.7272766,120,146.3636425,102.7272766,105.2083293,105.2083293,110.4166635,106.2500039,109.3749986,95.83333556,100.0000049,165.6250099,139.5833292
1,I,167.07317,135.3658502,169.5121903,135.3658502,156.0975563,164.6341498,252.4390259,109.7560923,92.68292794,145.9853981,148.9051147,121.1678812,135.7664238,138.6861268,129.927004,170.8029149,135.7664238,127.007301
2,I,170.7317117,123.1707263,131.7073198,137.8048818,170.7317117,136.5853603,252.4390259,121.9512162,123.1707263,159.1240891,182.4817544,127.007301,157.6642375,162.0437921,110.9489069,237.9562079,140.145992,129.927004
3,I,69.87951753,63.85542403,106.0240935,104.0160648,93.17268755,107.6305164,96.38554091,89.95983419,83.13252922,181.9444431,129.1666652,143.0555561,141.6666696,166.6666656,113.8888877,191.6666615,155.5555477,116.6666607
4,I,68.27309459,20.0803204,104.4176706,86.34538258,93.97589902,95.1807237,98.39356958,57.83132305,52.61044102,180.5555565,131.9444382,116.6666607,180.5555565,198.611107,124.9999927,273.6111078,173.6111111,130.5555517
5,I,71.49123088,77.19298389,119.2982501,95.17544259,95.61403835,110.0877228,88.15789415,103.9473741,60.52631654,74.75728309,132.0388401,114.5631141,89.32039265,97.08737899,77.66990862,88.34952049,105.8252465,91.26213698
6,I,78.0701754,75.00000511,106.1403528,107.0175444,91.22807261,108.3333398,106.5789486,81.57894963,56.14035081,69.90291324,106.7961187,146.6019497,105.8252465,86.40776712,100.9708767,86.40776712,92.23300914,84.4660228
7,I,75.69573598,96.84601302,100.1855319,23.37662353,26.3450838,20.03710638,96.10389925,102.0408163,74.21150153,120.4678398,114.6198856,113.4502969,107.6023427,125.1462054,125.1462054,116.9590629,167.2514628,127.4853827
8,I,65.67717933,27.0871993,21.89239426,25.97402692,26.71614069,22.63450803,NA,NA,NA,114.6198856,114.6198856,115.7894743,114.6198856,106.432754,104.0935658,106.432754,175.4385944,126.3157941
1,J,76.00848987,81.95329388,119.3205972,96.81528809,95.11676926,101.9108287,89.17197316,73.4607235,66.66666403,100,126.4367791,127.5862025,108.0459739,117.2413819,129.8850598,17.24137922,NA,NA
2,J,72.61146804,76.85775323,109.129508,100.6369455,94.69214154,105.3078585,106.1571139,93.84288608,55.20169955,111.4942546,110.3448313,116.0919479,125.2873558,113.7931012,128.7356258,131.0344831,102.2988466,135.6321871
3,J,83.74999833,67.187503,112.8125017,89.68749995,85.00000204,108.1250037,86.5624994,82.18750096,71.56250144,109.4117592,118.8235183,96.47058347,116.4705813,92.94116693,41.17646962,10.58823454,NA,NA
4,J,67.81250195,67.81250195,105.3125027,83.12499938,100.6250048,90.62499836,70.93750249,81.56250202,82.50000044,117.6470498,139.9999956,109.4117592,135.2941106,115.2941127,115.2941127,110.5882277,227.0588199,88.23528735
5,J,81.58730009,68.25397149,114.6031766,93.01587592,86.98412822,115.5555619,85.71428909,88.57142714,73.33333392,95.18716396,109.0909136,103.7433191,110.1604305,104.812836,102.6738022,99.46524155,225.6684456,109.0909136
